CodigoNacional;momento,HR_Valor
330020;01-01-2024 00:00:00;51.0
330020;01-01-2024 01:00:00;55.9
330020;01-01-2024 02:00:00;61.4
330020;01-01-2024 03:00:00;64.0
330020;01-01-2024 04:00:00;70.7
330020;01-01-2024 05:00:00;74.1
330020;01-01-2024 06:00:00;77.0
330020;01-01-2024 07:00:00;82.3
330020;01-01-2024 08:00:00;84.4
330020;01-01-2024 09:00:00;85.0
330020;01-01-2024 10:00:00;93.0
330020;01-01-2024 11:00:00;84.0
330020;01-01-2024 12:00:00;71.0
330020;01-01-2024 13:00:00;63.0
330020;01-01-2024 14:00:00;52.0
330020;01-01-2024 15:00:00;45.0
330020;01-01-2024 16:00:00;40.0
330020;01-01-2024 17:00:00;33.0
330020;01-01-2024 18:00:00;29.0
330020;01-01-2024 19:00:00;26.0
330020;01-01-2024 20:00:00;26.0
330020;01-01-2024 21:00:00;32.0
330020;01-01-2024 22:00:00;32.0
330020;01-01-2024 23:00:00;35.0
330020;02-01-2024 00:00:00;43.0
330020;02-01-2024 01:00:00;47.7
330020;02-01-2024 02:00:00;53.3
330020;02-01-2024 03:00:00;56.0
330020;02-01-2024 04:00:00;61.3
330020;02-01-2024 05:00:00;68.7
330020;02-01-2024 06:00:00;74.0
330020;02-01-2024 07:00:00;80.0
330020;02-01-2024 08:00:00;83.7
330020;02-01-2024 09:00:00;87.0
330020;02-01-2024 10:00:00;92.0
330020;02-01-2024 11:00:00;81.0
330020;02-01-2024 12:00:00;66.0
330020;02-01-2024 13:00:00;52.0
330020;02-01-2024 14:00:00;47.0
330020;02-01-2024 15:00:00;41.0
330020;02-01-2024 16:00:00;39.0
330020;02-01-2024 17:00:00;35.0
330020;02-01-2024 18:00:00;32.0
330020;02-01-2024 19:00:00;30.0
330020;02-01-2024 20:00:00;28.0
330020;02-01-2024 21:00:00;29.0
330020;02-01-2024 22:00:00;27.0
330020;02-01-2024 23:00:00;34.0
330020;03-01-2024 00:00:00;42.0
330020;03-01-2024 01:00:00;49.4
330020;03-01-2024 02:00:00;51.6
330020;03-01-2024 03:00:00;54.0
330020;03-01-2024 04:00:00;55.3
330020;03-01-2024 05:00:00;65.1
330020;03-01-2024 06:00:00;70.0
330020;03-01-2024 07:00:00;76.2
330020;03-01-2024 08:00:00;79.2
330020;03-01-2024 09:00:00;83.0
330020;03-01-2024 10:00:00;85.0
330020;03-01-2024 11:00:00;75.0
330020;03-01-2024 12:00:00;62.0
330020;03-01-2024 13:00:00;51.0
330020;03-01-2024 14:00:00;44.0
330020;03-01-2024 15:00:00;39.0
330020;03-01-2024 16:00:00;34.0
330020;03-01-2024 17:00:00;31.0
330020;03-01-2024 18:00:00;30.0
330020;03-01-2024 19:00:00;27.0
330020;03-01-2024 20:00:00;29.0
330020;03-01-2024 21:00:00;31.0
330020;03-01-2024 22:00:00;33.0
330020;03-01-2024 23:00:00;44.0
330020;04-01-2024 00:00:00;52.0
330020;04-01-2024 01:00:00;61.9
330020;04-01-2024 02:00:00;64.1
330020;04-01-2024 03:00:00;65.0
330020;04-01-2024 04:00:00;67.3
330020;04-01-2024 05:00:00;71.0
330020;04-01-2024 06:00:00;76.3
330020;04-01-2024 07:00:00;81.5
330020;04-01-2024 08:00:00;87.0
330020;04-01-2024 09:00:00;89.6
330020;04-01-2024 10:00:00;90.0
330020;04-01-2024 11:00:00;81.0
330020;04-01-2024 12:00:00;64.0
330020;04-01-2024 13:00:00;59.0
330020;04-01-2024 14:00:00;55.0
330020;04-01-2024 15:00:00;50.0
330020;04-01-2024 16:00:00;44.0
330020;04-01-2024 17:00:00;44.0
330020;04-01-2024 18:00:00;40.0
330020;04-01-2024 19:00:00;41.0
330020;04-01-2024 20:00:00;43.0
330020;04-01-2024 21:00:00;45.0
330020;04-01-2024 22:00:00;46.0
330020;04-01-2024 23:00:00;49.0
330020;05-01-2024 00:00:00;56.0
330020;05-01-2024 01:00:00;65.0
330020;05-01-2024 02:00:00;68.2
330020;05-01-2024 03:00:00;71.0
330020;05-01-2024 04:00:00;74.9
330020;05-01-2024 05:00:00;79.2
330020;05-01-2024 06:00:00;81.0
330020;05-01-2024 07:00:00;86.6
330020;05-01-2024 08:00:00;88.1
330020;05-01-2024 09:00:00;92.0
330020;05-01-2024 10:00:00;93.0
330020;05-01-2024 11:00:00;81.0
330020;05-01-2024 12:00:00;74.0
330020;05-01-2024 13:00:00;71.0
330020;05-01-2024 14:00:00;65.0
330020;05-01-2024 15:00:00;59.0
330020;05-01-2024 16:00:00;58.0
330020;05-01-2024 17:00:00;57.0
330020;05-01-2024 18:00:00;54.0
330020;05-01-2024 19:00:00;53.0
330020;05-01-2024 20:00:00;51.0
330020;05-01-2024 21:00:00;53.0
330020;05-01-2024 22:00:00;56.0
330020;05-01-2024 23:00:00;64.0
330020;06-01-2024 00:00:00;68.0
330020;06-01-2024 01:00:00;73.6
330020;06-01-2024 02:00:00;76.8
330020;06-01-2024 03:00:00;78.0
330020;06-01-2024 04:00:00;81.6
330020;06-01-2024 05:00:00;82.7
330020;06-01-2024 06:00:00;85.9
330020;06-01-2024 07:00:00;86.0
330020;06-01-2024 08:00:00;88.1
330020;06-01-2024 09:00:00;91.0
330020;06-01-2024 10:00:00;97.0
330020;06-01-2024 11:00:00;90.0
330020;06-01-2024 12:00:00;81.0
330020;06-01-2024 13:00:00;74.0
330020;06-01-2024 14:00:00;66.0
330020;06-01-2024 15:00:00;64.0
330020;06-01-2024 16:00:00;60.0
330020;06-01-2024 17:00:00;57.0
330020;06-01-2024 18:00:00;49.0
330020;06-01-2024 19:00:00;47.0
330020;06-01-2024 20:00:00;46.0
330020;06-01-2024 21:00:00;48.0
330020;06-01-2024 22:00:00;47.0
330020;06-01-2024 23:00:00;49.0
330020;07-01-2024 00:00:00;60.0
330020;07-01-2024 01:00:00;70.0
330020;07-01-2024 02:00:00;75.6
330020;07-01-2024 03:00:00;75.0
330020;07-01-2024 04:00:00;73.7
330020;07-01-2024 05:00:00;75.4
330020;07-01-2024 06:00:00;75.0
330020;07-01-2024 07:00:00;82.5
330020;07-01-2024 08:00:00;84.4
330020;07-01-2024 09:00:00;89.0
330020;07-01-2024 10:00:00;93.0
330020;07-01-2024 11:00:00;86.0
330020;07-01-2024 12:00:00;74.0
330020;07-01-2024 13:00:00;63.0
330020;07-01-2024 14:00:00;54.0
330020;07-01-2024 15:00:00;47.0
330020;07-01-2024 16:00:00;41.0
330020;07-01-2024 17:00:00;36.0
330020;07-01-2024 18:00:00;33.0
330020;07-01-2024 19:00:00;25.0
330020;07-01-2024 20:00:00;23.0
330020;07-01-2024 21:00:00;26.0
330020;07-01-2024 22:00:00;27.0
330020;07-01-2024 23:00:00;33.0
330020;08-01-2024 00:00:00;39.0
330020;08-01-2024 01:00:00;47.2
330020;08-01-2024 02:00:00;48.9
330020;08-01-2024 03:00:00;49.0
330020;08-01-2024 04:00:00;52.7
330020;08-01-2024 05:00:00;58.7
330020;08-01-2024 06:00:00;58.0
330020;08-01-2024 07:00:00;62.1
330020;08-01-2024 08:00:00;70.4
330020;08-01-2024 09:00:00;75.0
330020;08-01-2024 10:00:00;77.0
330020;08-01-2024 11:00:00;67.0
330020;08-01-2024 12:00:00;59.0
330020;08-01-2024 13:00:00;50.0
330020;08-01-2024 14:00:00;44.0
330020;08-01-2024 15:00:00;43.0
330020;08-01-2024 16:00:00;38.0
330020;08-01-2024 17:00:00;31.0
330020;08-01-2024 18:00:00;32.0
330020;08-01-2024 19:00:00;29.0
330020;08-01-2024 20:00:00;27.0
330020;08-01-2024 21:00:00;29.0
330020;08-01-2024 22:00:00;26.0
330020;08-01-2024 23:00:00;29.0
330020;09-01-2024 00:00:00;34.0
330020;09-01-2024 01:00:00;37.8
330020;09-01-2024 02:00:00;34.9
330020;09-01-2024 03:00:00;37.0
330020;09-01-2024 04:00:00;42.2
330020;09-01-2024 05:00:00;48.9
330020;09-01-2024 06:00:00;46.0
330020;09-01-2024 07:00:00;57.4
330020;09-01-2024 08:00:00;65.4
330020;09-01-2024 09:00:00;70.0
330020;09-01-2024 10:00:00;72.0
330020;09-01-2024 11:00:00;67.0
330020;09-01-2024 12:00:00;45.0
330020;09-01-2024 13:00:00;40.0
330020;09-01-2024 14:00:00;38.9
330020;09-01-2024 15:00:00;35.0
330020;09-01-2024 16:00:00;28.0
330020;09-01-2024 17:00:00;25.0
330020;09-01-2024 18:00:00;29.0
330020;09-01-2024 19:00:00;25.0
330020;09-01-2024 20:00:00;25.0
330020;09-01-2024 21:00:00;27.0
330020;09-01-2024 22:00:00;28.0
330020;09-01-2024 23:00:00;29.0
330020;10-01-2024 00:00:00;40.0
330020;10-01-2024 01:00:00;43.7
330020;10-01-2024 02:00:00;45.4
330020;10-01-2024 03:00:00;47.0
330020;10-01-2024 04:00:00;47.0
330020;10-01-2024 05:00:00;48.9
330020;10-01-2024 06:00:00;56.0
330020;10-01-2024 07:00:00;62.6
330020;10-01-2024 08:00:00;69.1
330020;10-01-2024 09:00:00;72.0
330020;10-01-2024 10:00:00;78.0
330020;10-01-2024 11:00:00;68.0
330020;10-01-2024 12:00:00;58.0
330020;10-01-2024 13:00:00;47.0
330020;10-01-2024 14:00:00;39.0
330020;10-01-2024 15:00:00;37.0
330020;10-01-2024 16:00:00;33.0
330020;10-01-2024 17:00:00;30.0
330020;10-01-2024 18:00:00;32.0
330020;10-01-2024 19:00:00;28.0
330020;10-01-2024 20:00:00;30.0
330020;10-01-2024 21:00:00;31.0
330020;10-01-2024 22:00:00;31.0
330020;10-01-2024 23:00:00;34.0
330020;11-01-2024 00:00:00;40.0
330020;11-01-2024 01:00:00;42.8
330020;11-01-2024 02:00:00;41.5
330020;11-01-2024 03:00:00;43.0
330020;11-01-2024 04:00:00;46.8
330020;11-01-2024 05:00:00;46.0
330020;11-01-2024 06:00:00;47.0
330020;11-01-2024 07:00:00;53.0
330020;11-01-2024 08:00:00;53.2
330020;11-01-2024 09:00:00;58.0
330020;11-01-2024 10:00:00;60.0
330020;11-01-2024 11:00:00;57.0
330020;11-01-2024 12:00:00;51.0
330020;11-01-2024 13:00:00;40.0
330020;11-01-2024 14:00:00;39.0
330020;11-01-2024 15:00:00;38.0
330020;11-01-2024 16:00:00;34.0
330020;11-01-2024 17:00:00;31.0
330020;11-01-2024 18:00:00;29.0
330020;11-01-2024 19:00:00;29.0
330020;11-01-2024 20:00:00;26.0
330020;11-01-2024 21:00:00;29.0
330020;11-01-2024 22:00:00;31.0
330020;11-01-2024 23:00:00;36.0
330020;12-01-2024 00:00:00;43.0
330020;12-01-2024 01:00:00;46.6
330020;12-01-2024 02:00:00;51.0
330020;12-01-2024 03:00:00;53.0
330020;12-01-2024 04:00:00;52.6
330020;12-01-2024 05:00:00;57.9
330020;12-01-2024 06:00:00;61.0
330020;12-01-2024 07:00:00;69.1
330020;12-01-2024 08:00:00;72.7
330020;12-01-2024 09:00:00;77.0
330020;12-01-2024 10:00:00;79.0
330020;12-01-2024 11:00:00;74.0
330020;12-01-2024 12:00:00;67.0
330020;12-01-2024 13:00:00;56.0
330020;12-01-2024 14:00:00;52.0
330020;12-01-2024 15:00:00;42.0
330020;12-01-2024 16:00:00;37.0
330020;12-01-2024 17:00:00;35.0
330020;12-01-2024 18:00:00;32.0
330020;12-01-2024 19:00:00;34.0
330020;12-01-2024 20:00:00;32.0
330020;12-01-2024 21:00:00;36.0
330020;12-01-2024 22:00:00;41.0
330020;12-01-2024 23:00:00;47.0
330020;13-01-2024 00:00:00;50.0
330020;13-01-2024 01:00:00;57.0
330020;13-01-2024 02:00:00;60.4
330020;13-01-2024 03:00:00;60.0
330020;13-01-2024 04:00:00;65.7
330020;13-01-2024 05:00:00;68.1
330020;13-01-2024 06:00:00;73.0
330020;13-01-2024 07:00:00;75.3
330020;13-01-2024 08:00:00;78.4
330020;13-01-2024 09:00:00;82.0
330020;13-01-2024 10:00:00;85.0
330020;13-01-2024 11:00:00;93.0
330020;13-01-2024 12:00:00;85.0
330020;13-01-2024 13:00:00;66.0
330020;13-01-2024 14:00:00;56.0
330020;13-01-2024 15:00:00;51.0
330020;13-01-2024 16:00:00;46.0
330020;13-01-2024 17:00:00;42.0
330020;13-01-2024 18:00:00;41.0
330020;13-01-2024 19:00:00;37.0
330020;13-01-2024 20:00:00;34.0
330020;13-01-2024 21:00:00;33.0
330020;13-01-2024 22:00:00;35.0
330020;13-01-2024 23:00:00;35.0
330020;14-01-2024 00:00:00;40.0
330020;14-01-2024 01:00:00;43.4
330020;14-01-2024 02:00:00;45.7
330020;14-01-2024 03:00:00;48.0
330020;14-01-2024 04:00:00;52.3
330020;14-01-2024 05:00:00;53.3
330020;14-01-2024 06:00:00;61.0
330020;14-01-2024 07:00:00;69.4
330020;14-01-2024 08:00:00;74.2
330020;14-01-2024 09:00:00;77.0
330020;14-01-2024 10:00:00;81.0
330020;14-01-2024 11:00:00;76.0
330020;14-01-2024 12:00:00;53.0
330020;14-01-2024 13:00:00;46.0
330020;14-01-2024 14:00:00;38.0
330020;14-01-2024 15:00:00;35.0
330020;14-01-2024 16:00:00;33.0
330020;14-01-2024 17:00:00;26.0
330020;14-01-2024 18:00:00;23.0
330020;14-01-2024 19:00:00;17.0
330020;14-01-2024 20:00:00;17.0
330020;14-01-2024 21:00:00;18.0
330020;14-01-2024 22:00:00;17.0
330020;14-01-2024 23:00:00;15.0
330020;15-01-2024 00:00:00;21.0
330020;15-01-2024 01:00:00;31.2
330020;15-01-2024 02:00:00;34.4
330020;15-01-2024 03:00:00;37.0
330020;15-01-2024 04:00:00;43.2
330020;15-01-2024 05:00:00;48.5
330020;15-01-2024 06:00:00;52.0
330020;15-01-2024 07:00:00;60.6
330020;15-01-2024 08:00:00;63.0
330020;15-01-2024 09:00:00;64.0
330020;15-01-2024 10:00:00;68.0
330020;15-01-2024 11:00:00;65.0
330020;15-01-2024 12:00:00;40.0
330020;15-01-2024 13:00:00;36.0
330020;15-01-2024 14:00:00;31.0
330020;15-01-2024 15:00:00;27.0
330020;15-01-2024 16:00:00;23.0
330020;15-01-2024 17:00:00;23.0
330020;15-01-2024 18:00:00;23.0
330020;15-01-2024 19:00:00;25.0
330020;15-01-2024 20:00:00;23.0
330020;15-01-2024 21:00:00;20.0
330020;15-01-2024 22:00:00;21.0
330020;15-01-2024 23:00:00;25.0
330020;16-01-2024 00:00:00;29.0
330020;16-01-2024 01:00:00;26.2
330020;16-01-2024 02:00:00;36.4
330020;16-01-2024 03:00:00;49.0
330020;16-01-2024 04:00:00;54.4
330020;16-01-2024 05:00:00;61.2
330020;16-01-2024 06:00:00;64.0
330020;16-01-2024 07:00:00;73.4
330020;16-01-2024 08:00:00;78.4
330020;16-01-2024 09:00:00;80.0
330020;16-01-2024 10:00:00;84.0
330020;16-01-2024 11:00:00;79.0
330020;16-01-2024 12:00:00;63.0
330020;16-01-2024 13:00:00;50.0
330020;16-01-2024 14:00:00;41.0
330020;16-01-2024 15:00:00;33.0
330020;16-01-2024 16:00:00;28.0
330020;16-01-2024 17:00:00;27.0
330020;16-01-2024 18:00:00;24.0
330020;16-01-2024 19:00:00;16.0
330020;16-01-2024 20:00:00;19.0
330020;16-01-2024 21:00:00;20.0
330020;16-01-2024 22:00:00;25.0
330020;16-01-2024 23:00:00;27.0
330020;17-01-2024 00:00:00;32.0
330020;17-01-2024 01:00:00;43.4
330020;17-01-2024 02:00:00;46.5
330020;17-01-2024 03:00:00;51.0
330020;17-01-2024 04:00:00;60.0
330020;17-01-2024 05:00:00;64.0
330020;17-01-2024 06:00:00;66.3
330020;17-01-2024 07:00:00;71.0
330020;17-01-2024 08:00:00;72.9
330020;17-01-2024 09:00:00;73.0
330020;17-01-2024 10:00:00;73.0
330020;17-01-2024 11:00:00;69.0
330020;17-01-2024 12:00:00;51.0
330020;17-01-2024 13:00:00;42.0
330020;17-01-2024 14:00:00;37.0
330020;17-01-2024 15:00:00;30.0
330020;17-01-2024 16:00:00;30.0
330020;17-01-2024 17:00:00;29.0
330020;17-01-2024 18:00:00;25.0
330020;17-01-2024 19:00:00;28.0
330020;17-01-2024 20:00:00;32.0
330020;17-01-2024 21:00:00;33.0
330020;17-01-2024 22:00:00;38.0
330020;17-01-2024 23:00:00;40.0
330020;18-01-2024 00:00:00;44.0
330020;18-01-2024 01:00:00;55.3
330020;18-01-2024 02:00:00;59.2
330020;18-01-2024 03:00:00;57.0
330020;18-01-2024 04:00:00;63.2
330020;18-01-2024 05:00:00;63.6
330020;18-01-2024 06:00:00;68.0
330020;18-01-2024 07:00:00;73.4
330020;18-01-2024 08:00:00;78.3
330020;18-01-2024 09:00:00;80.0
330020;18-01-2024 10:00:00;80.0
330020;18-01-2024 11:00:00;79.0
330020;18-01-2024 12:00:00;63.0
330020;18-01-2024 13:00:00;53.0
330020;18-01-2024 14:00:00;48.0
330020;18-01-2024 15:00:00;43.0
330020;18-01-2024 16:00:00;40.0
330020;18-01-2024 17:00:00;36.0
330020;18-01-2024 18:00:00;33.0
330020;18-01-2024 19:00:00;31.0
330020;18-01-2024 20:00:00;31.0
330020;18-01-2024 21:00:00;26.0
330020;18-01-2024 22:00:00;29.0
330020;18-01-2024 23:00:00;31.0
330020;19-01-2024 00:00:00;33.0
330020;19-01-2024 01:00:00;38.4
330020;19-01-2024 02:00:00;43.5
330020;19-01-2024 03:00:00;44.0
330020;19-01-2024 04:00:00;53.1
330020;19-01-2024 05:00:00;57.2
330020;19-01-2024 06:00:00;58.9
330020;19-01-2024 07:00:00;63.4
330020;19-01-2024 08:00:00;65.2
330020;19-01-2024 09:00:00;69.0
330020;19-01-2024 10:00:00;72.0
330020;19-01-2024 11:00:00;69.0
330020;19-01-2024 12:00:00;48.0
330020;19-01-2024 13:00:00;42.0
330020;19-01-2024 14:00:00;35.0
330020;19-01-2024 15:00:00;33.0
330020;19-01-2024 16:00:00;29.0
330020;19-01-2024 17:00:00;25.0
330020;19-01-2024 18:00:00;25.0
330020;19-01-2024 19:00:00;23.0
330020;19-01-2024 20:00:00;19.0
330020;19-01-2024 21:00:00;21.0
330020;19-01-2024 22:00:00;23.0
330020;19-01-2024 23:00:00;27.0
330020;20-01-2024 00:00:00;31.0
330020;20-01-2024 01:00:00;38.5
330020;20-01-2024 02:00:00;40.5
330020;20-01-2024 03:00:00;41.0
330020;20-01-2024 04:00:00;50.8
330020;20-01-2024 05:00:00;52.8
330020;20-01-2024 06:00:00;56.0
330020;20-01-2024 07:00:00;58.0
330020;20-01-2024 08:00:00;60.0
330020;20-01-2024 09:00:00;62.0
330020;20-01-2024 10:00:00;63.0
330020;20-01-2024 11:00:00;64.0
330020;20-01-2024 12:00:00;47.0
330020;20-01-2024 13:00:00;40.0
330020;20-01-2024 14:00:00;36.0
330020;20-01-2024 15:00:00;33.0
330020;20-01-2024 16:00:00;34.0
330020;20-01-2024 17:00:00;30.0
330020;20-01-2024 18:00:00;29.0
330020;20-01-2024 19:00:00;26.0
330020;20-01-2024 20:00:00;22.0
330020;20-01-2024 21:00:00;26.0
330020;20-01-2024 22:00:00;28.0
330020;20-01-2024 23:00:00;29.0
330020;21-01-2024 00:00:00;34.0
330020;21-01-2024 01:00:00;43.9
330020;21-01-2024 02:00:00;40.8
330020;21-01-2024 03:00:00;44.0
330020;21-01-2024 04:00:00;48.7
330020;21-01-2024 05:00:00;54.1
330020;21-01-2024 06:00:00;58.0
330020;21-01-2024 07:00:00;65.3
330020;21-01-2024 08:00:00;71.2
330020;21-01-2024 09:00:00;73.0
330020;21-01-2024 10:00:00;73.0
330020;21-01-2024 11:00:00;74.0
330020;21-01-2024 12:00:00;59.0
330020;21-01-2024 13:00:00;48.0
330020;21-01-2024 14:00:00;41.0
330020;21-01-2024 15:00:00;40.0
330020;21-01-2024 16:00:00;32.0
330020;21-01-2024 17:00:00;33.0
330020;21-01-2024 18:00:00;27.0
330020;21-01-2024 19:00:00;28.0
330020;21-01-2024 20:00:00;27.0
330020;21-01-2024 21:00:00;27.0
330020;21-01-2024 22:00:00;29.0
330020;21-01-2024 23:00:00;31.0
330020;22-01-2024 00:00:00;38.0
330020;22-01-2024 01:00:00;45.2
330020;22-01-2024 02:00:00;46.4
330020;22-01-2024 03:00:00;49.0
330020;22-01-2024 04:00:00;55.6
330020;22-01-2024 05:00:00;62.8
330020;22-01-2024 06:00:00;65.0
330020;22-01-2024 07:00:00;72.1
330020;22-01-2024 08:00:00;74.0
330020;22-01-2024 09:00:00;74.0
330020;22-01-2024 10:00:00;76.0
330020;22-01-2024 11:00:00;75.0
330020;22-01-2024 12:00:00;60.0
330020;22-01-2024 13:00:00;47.0
330020;22-01-2024 14:00:00;39.0
330020;22-01-2024 15:00:00;34.0
330020;22-01-2024 16:00:00;31.0
330020;22-01-2024 17:00:00;29.0
330020;22-01-2024 18:00:00;28.0
330020;22-01-2024 19:00:00;27.0
330020;22-01-2024 20:00:00;27.0
330020;22-01-2024 21:00:00;26.0
330020;22-01-2024 22:00:00;28.0
330020;22-01-2024 23:00:00;36.0
330020;23-01-2024 00:00:00;44.0
330020;23-01-2024 01:00:00;52.7
330020;23-01-2024 02:00:00;55.2
330020;23-01-2024 03:00:00;58.0
330020;23-01-2024 04:00:00;63.3
330020;23-01-2024 05:00:00;64.3
330020;23-01-2024 06:00:00;66.4
330020;23-01-2024 07:00:00;71.5
330020;23-01-2024 08:00:00;76.9
330020;23-01-2024 09:00:00;78.0
330020;23-01-2024 10:00:00;82.0
330020;23-01-2024 11:00:00;79.0
330020;23-01-2024 12:00:00;65.0
330020;23-01-2024 13:00:00;60.0
330020;23-01-2024 14:00:00;56.0
330020;23-01-2024 15:00:00;49.0
330020;23-01-2024 16:00:00;44.0
330020;23-01-2024 17:00:00;42.0
330020;23-01-2024 18:00:00;39.0
330020;23-01-2024 19:00:00;37.0
330020;23-01-2024 20:00:00;33.2
330020;23-01-2024 21:00:00;33.0
330020;23-01-2024 22:00:00;34.0
330020;23-01-2024 23:00:00;38.0
330020;24-01-2024 00:00:00;44.0
330020;24-01-2024 01:00:00;56.3
330020;24-01-2024 02:00:00;55.3
330020;24-01-2024 03:00:00;58.0
330020;24-01-2024 04:00:00;63.6
330020;24-01-2024 05:00:00;68.2
330020;24-01-2024 06:00:00;71.0
330020;24-01-2024 07:00:00;75.7
330020;24-01-2024 08:00:00;80.1
330020;24-01-2024 09:00:00;82.0
330020;24-01-2024 10:00:00;83.0
330020;24-01-2024 11:00:00;81.0
330020;24-01-2024 12:00:00;64.0
330020;24-01-2024 13:00:00;51.0
330020;24-01-2024 14:00:00;44.0
330020;24-01-2024 15:00:00;42.0
330020;24-01-2024 16:00:00;35.0
330020;24-01-2024 17:00:00;32.0
330020;24-01-2024 18:00:00;27.0
330020;24-01-2024 19:00:00;24.0
330020;24-01-2024 20:00:00;26.0
330020;24-01-2024 21:00:00;28.0
330020;24-01-2024 22:00:00;30.0
330020;24-01-2024 23:00:00;33.0
330020;25-01-2024 00:00:00;43.0
330020;25-01-2024 01:00:00;51.4
330020;25-01-2024 02:00:00;53.0
330020;25-01-2024 03:00:00;55.0
330020;25-01-2024 04:00:00;59.5
330020;25-01-2024 05:00:00;65.2
330020;25-01-2024 06:00:00;68.0
330020;25-01-2024 07:00:00;71.4
330020;25-01-2024 08:00:00;71.6
330020;25-01-2024 09:00:00;71.0
330020;25-01-2024 10:00:00;73.0
330020;25-01-2024 11:00:00;69.0
330020;25-01-2024 12:00:00;63.0
330020;25-01-2024 13:00:00;53.0
330020;25-01-2024 14:00:00;47.0
330020;25-01-2024 15:00:00;38.0
330020;25-01-2024 16:00:00;38.0
330020;25-01-2024 17:00:00;37.0
330020;25-01-2024 18:00:00;38.0
330020;25-01-2024 19:00:00;37.0
330020;25-01-2024 20:00:00;39.0
330020;25-01-2024 21:00:00;41.0
330020;25-01-2024 22:00:00;43.0
330020;25-01-2024 23:00:00;51.0
330020;26-01-2024 00:00:00;57.0
330020;26-01-2024 01:00:00;66.3
330020;26-01-2024 02:00:00;69.3
330020;26-01-2024 03:00:00;71.0
330020;26-01-2024 04:00:00;74.2
330020;26-01-2024 05:00:00;75.5
330020;26-01-2024 06:00:00;78.0
330020;26-01-2024 07:00:00;80.9
330020;26-01-2024 08:00:00;87.5
330020;26-01-2024 09:00:00;88.0
330020;26-01-2024 10:00:00;94.0
330020;26-01-2024 11:00:00;93.0
330020;26-01-2024 12:00:00;82.0
330020;26-01-2024 13:00:00;81.0
330020;26-01-2024 14:00:00;67.0
330020;26-01-2024 15:00:00;66.0
330020;26-01-2024 16:00:00;61.0
330020;26-01-2024 17:00:00;54.0
330020;26-01-2024 18:00:00;47.0
330020;26-01-2024 19:00:00;41.0
330020;26-01-2024 20:00:00;33.0
330020;26-01-2024 21:00:00;26.0
330020;26-01-2024 22:00:00;35.0
330020;26-01-2024 23:00:00;34.0
330020;27-01-2024 00:00:00;45.0
330020;27-01-2024 01:00:00;53.9
330020;27-01-2024 02:00:00;58.9
330020;27-01-2024 03:00:00;62.0
330020;27-01-2024 04:00:00;68.1
330020;27-01-2024 05:00:00;71.1
330020;27-01-2024 06:00:00;74.8
330020;27-01-2024 07:00:00;79.2
330020;27-01-2024 08:00:00;80.2
330020;27-01-2024 09:00:00;83.0
330020;27-01-2024 10:00:00;83.0
330020;27-01-2024 11:00:00;81.0
330020;27-01-2024 12:00:00;77.0
330020;27-01-2024 13:00:00;61.0
330020;27-01-2024 14:00:00;55.0
330020;27-01-2024 15:00:00;49.0
330020;27-01-2024 16:00:00;41.0
330020;27-01-2024 17:00:00;33.0
330020;27-01-2024 18:00:00;25.0
330020;27-01-2024 19:00:00;30.0
330020;27-01-2024 20:00:00;24.0
330020;27-01-2024 21:00:00;27.0
330020;27-01-2024 22:00:00;27.0
330020;27-01-2024 23:00:00;40.0
330020;28-01-2024 00:00:00;46.0
330020;28-01-2024 01:00:00;56.3
330020;28-01-2024 02:00:00;60.8
330020;28-01-2024 03:00:00;62.0
330020;28-01-2024 04:00:00;64.0
330020;28-01-2024 05:00:00;66.1
330020;28-01-2024 06:00:00;69.0
330020;28-01-2024 07:00:00;77.4
330020;28-01-2024 08:00:00;77.3
330020;28-01-2024 09:00:00;79.0
330020;28-01-2024 10:00:00;81.0
330020;28-01-2024 11:00:00;81.0
330020;28-01-2024 12:00:00;74.0
330020;28-01-2024 13:00:00;57.0
330020;28-01-2024 14:00:00;53.0
330020;28-01-2024 15:00:00;49.0
330020;28-01-2024 16:00:00;48.0
330020;28-01-2024 17:00:00;45.0
330020;28-01-2024 18:00:00;44.0
330020;28-01-2024 19:00:00;40.0
330020;28-01-2024 20:00:00;30.0
330020;28-01-2024 21:00:00;29.0
330020;28-01-2024 22:00:00;33.0
330020;28-01-2024 23:00:00;42.0
330020;29-01-2024 00:00:00;54.0
330020;29-01-2024 01:00:00;60.2
330020;29-01-2024 02:00:00;59.7
330020;29-01-2024 03:00:00;63.0
